Gender,pre_pro,pre_amb_sum,pre_CT,pre_PS,post_pro,post_amb,post_CT,post_PS,CT_gr
2,35,44,1,0,31,45,3,0,0
2,33,32,3,0,32,36,3,0,1
2,30,28,4,0,28,42,3,0,1
1,36,50,4,2,30,43,4,2,1
2,35,28,4,2,37,44,2,2,1
2,38,49,4,0,38,48,4,0,1
2,35,31,3,2,30,32,2,2,1
2,37,47,2,0,37,49,3,2,0
2,31,39,1,0,34,38,2,1,0
2,29,43,2,0,28,43,1,0,0
4,24,44,3,0,24,42,0,0,1
2,22,42,2,1,20,42,2,2,0
2,35,46,2,2,33,47,2,2,0
2,31,42,2,0,32,47,3,0,0
1,32,38,3,2,33,43,2,2,1
2,34,27,4,2,32,42,2,2,1
1,32,44,3,2,28,47,4,2,1
2,28,52,3,2,33,54,4,2,1
1,32,27,4,1,34,35,4,2,1
2,34,41,1,0,24,44,2,0,0
1,33,50,2,0,33,46,2,0,0
2,32,33,3,2,32,34,4,1,1
1,32,48,2,0,28,44,2,1,0
1,36,49,2,1,31,46,3,0,0
1,30,46,2,2,31,41,3,2,0
3,35,45,2,2,27,45,2,0,0
2,33,30,4,0,36,34,4,0,1
2,27,35,2,0,26,39,3,0,0
1,30,46,3,2,35,50,3,1,1
1,40,34,1,0,32,42,2,0,0
1,31,40,4,0,29,40,3,2,1
2,30,52,3,0,26,36,4,2,1
1,37,40,3,0,34,49,2,0,1
1,34,35,1,0,34,39,2,0,0
2,30,42,2,1,24,43,2,0,0
1,32,54,4,1,24,46,4,0,1
4,29,35,0,0,25,36,3,0,0
2,30,34,1,0,26,31,3,0,0
2,34,45,4,2,38,44,4,1,1
1,32,35,2,2,36,58,3,2,0
1,34,26,3,2,36,38,3,2,1
1,36,37,1,2,31,42,1,0,0
1,36,37,1,2,37,47,2,2,0
1,31,46,4,2,31,46,4,2,1
2,29,47,2,0,28,47,2,0,0
2,29,45,2,0,29,48,2,0,0
1,29,33,1,0,28,39,2,1,0
1,32,43,3,2,33,45,2,2,1
1,29,47,3,2,26,50,3,2,1
1,32,52,3,2,34,53,3,2,1
2,29,39,3,1,22,41,2,2,1
1,34,46,4,1,34,45,4,1,1
1,34,33,4,2,32,36,3,2,1
1,34,31,3,2,32,38,3,2,1
2,38,44,2,0,33,40,1,0,0
2,30,39,2,0,26,37,1,0,0
2,36,41,3,2,31,46,4,2,1
2,36,50,4,0,28,45,2,1,1
2,33,40,3,0,31,42,3,0,1
2,32,29,1,0,35,42,2,0,0
1,35,36,3,1,34,46,3,1,1
3,31,39,3,2,31,45,1,2,1
2,25,34,4,2,32,42,3,0,1
2,31,44,1,0,32,46,1,0,0
1,32,56,3,1,26,56,2,1,1
2,33,40,2,0,29,37,3,0,0
2,27,47,1,0,21,43,1,0,0
2,34,46,3,2,32,45,2,2,1
2,30,43,4,0,27,42,3,2,1
3,16,28,1,0,17,44,1,0,0
1,31,35,4,0,31,42,2,2,1
1,33,52,1,0,32,57,1,0,0
2,30,46,2,0,25,41,2,0,0
2,30,42,2,0,24,41,4,1,0
2,28,43,4,0,27,43,2,1,1
1,38,34,4,0,35,39,4,0,1
1,34,39,1,0,33,41,1,0,0
1,32,51,2,0,31,48,3,0,0
3,32,48,2,2,33,46,3,2,0
2,31,43,3,0,29,43,3,0,1
2,28,38,3,1,17,33,2,2,1
1,29,28,2,0,31,40,3,2,0
1,36,48,2,2,35,50,3,2,0
2,29,27,3,2,31,39,3,2,1
2,31,38,1,2,33,39,1,1,0
2,27,45,2,2,24,40,3,0,0
1,33,47,2,0,35,42,4,1,0
3,23,29,3,0,26,47,4,0,1
1,31,41,2,0,25,47,0,0,0
1,37,43,2,0,31,42,3,1,0
2,34,49,2,0,30,40,1,0,0
2,32,44,2,0,28,47,3,2,0
2,8,40,1,0,28,50,4,0,0
